23:59:15.798  +46:53:21.35 | IC 1525, IC 1525
01:33:40.922  +44:55:43.29 | NGC   590, NGC   590
02:36:27.831  +38:58:08.56 | IC  239, IC  239
02:40:37.7  +39:03:29 | NGC  1023A, 2MASXI J0240377+390326
02:40:39.4  +39:22:47 | NGC  1023C, [M98c] 023730.7+390957
02:41:00.0  +39:04:19 | NGC  1023B, NGC  1023B
02:40:24.012  +39:03:47.70 | NGC  1023, NGC  1023
02:43:30.057  +37:20:28.33 | NGC  1058, NGC  1058
03:01:30.449  +37:45:57.84 | IC  278, IC  278
03:06:21.967  +36:00:52.34 | IC 1874, IC 1874
22:12:30.117  +45:19:42.43 | NGC  7231, NGC  7231
22:05:07  +46:29.0 | NGC  7209, NGC  7209
22:05:22.23  +46:32:04.4 | NGC  7209    95, GSC 03605-01923, TYC 3605-1923-1, TYC 3605-1923-1
22:04:37.48  +46:24:03.8 | NGC  7209    43, GSC 03605-02464, TYC 3605-2464-1, IDS 22006+4555
23:29:41  +49:10.2 | NGC  7686, NGC  7686
00:14:22.435  +48:14:47.54 | NGC    49, NGC    49
00:14:19.014  +48:08:35.57 | IC 1536, IC 1536
00:14:02.215  +48:14:05.57 | NGC    48, NGC    48
00:13:57.330  +48:09:28.54 | IC 1535, IC 1535
00:13:45.441  +48:09:04.41 | IC 1534, IC 1534
00:14:34.895  +48:15:19.86 | NGC    51, NGC    51
00:33:12.120  +48:30:31.46 | NGC   147, NGC   147
00:38:57.970  +48:20:14.56 | NGC   185, NGC   185
01:00:55.432  +47:40:55.14 | IC   65, IC   65
00:52:04.300  +47:33:01.93 | NGC   278, NGC   278
01:28:29.241  +48:23:13.33 | NGC   562, NGC   562
02:06:51.497  +44:34:22.48 | NGC   812, NGC   812
01:57:51.004  +44:55:06.97 | NGC   746, NGC   746
02:12:12.303  +44:34:06.01 | NGC   846, NGC   847, NGC   846
02:25:42.781  +41:46:38.52 | NGC   912, NGC   912
02:25:42.397  +41:57:22.59 | NGC   911, NGC   911
02:25:22.798  +42:02:07.43 | NGC   909, NGC   909
02:25:16.255  +42:05:23.48 | NGC   906, NGC   906
02:25:44.638  +41:47:58.07 | NGC   913, NGC   913
02:23:20.395  +41:57:05.25 | NGC   898, NGC   898
02:25:26.772  +41:49:27.50 | NGC   910, NGC   910
02:27:34.640  +41:58:39.21 | NGC   923, NGC   923
02:26:05.196  +42:08:38.62 | NGC   914, NGC   914
02:22:32.907  +42:20:53.95 | NGC   891, NGC   891
02:35:24.855  +40:52:10.91 | NGC   982, NGC   982
02:35:18.560  +40:55:35.60 | NGC   980, NGC   980
02:39:16.893  +40:52:20.25 | NGC  1003, NGC  1003
02:39:12.639  +41:40:18.27 | NGC  1001, NGC  1001
02:38:47.451  +41:40:13.24 | NGC   999, IC  240, NGC   999
02:38:39.865  +41:38:51.27 | NGC   996, NGC   996
02:38:32.027  +41:31:45.25 | NGC   995, NGC   995
02:39:27.680  +41:29:36.20 | NGC  1005, NGC  1005
02:43:12.427  +41:30:02.24 | NGC  1053, NGC  1053
02:42:05  +42:45.7 | M  34, NGC  1039, M  34
02:38:49.738  +41:27:35.24 | NGC  1000, NGC  1000
02:30:38.509  +42:13:55.64 | NGC   946, NGC   946
02:29:28.25  +42:14:58.8 | NGC   937, NGC   937
02:42:13.13214  +42:41:57.1777 | NGC  1039   307, HD  16728, HIP  12619, SAO  38254, GSC 02853-01013, PPM  45377, SAO  38254, CCDM J02422+4242AB
02:46:00.570  +40:05:24.82 | NGC  1077, NGC  1077A, NGC  1077
02:47:56.383  +41:14:47.41 | NGC  1086, NGC  1086
02:49:46.004  +41:03:06.25 | IC  259, IC  259
02:49:40.872  +41:03:18.26 | IC  258, IC  258
02:50:40.522  +41:40:17.15 | NGC  1106, NGC  1106
02:46:02.923  +40:05:35.81 | NGC  1077B, MCG+07-06-068
03:09:17.309  +38:38:57.75 | NGC  1213, IC 1881, NGC  1213
03:15:55.188  +37:09:14.29 | IC 1900, IC 1900
03:15:03.819  +37:51:36.47 | IC  305, IC  305
03:16:12.426  +37:10:38.79 | IC 1902, IC 1902
03:15:01.365  +37:52:54.46 | IC  304, IC  304
03:16:02.624  +37:06:45.23 | IC 1901, IC 1901
03:08:15.514  +38:22:55.79 | NGC  1207, NGC  1207
21:07:01.593  +42:14:10.18 | NGC  7027, HD 201272, SAO  50463, GSC 03176-00798, SAO  50463, NGC  7027
21:13:10  +42:29.7 | NGC  7044, NGC  7044
21:32:30.97  +44:35:47.5 | IC 5117, HD 205211, IC 5117
21:53:24  +47:16.0 | NAME COCOON NEBULA, IC 5146, IC 5146
22:15:08  +49:53.9 | NGC  7243, NGC  7243
22:13:33.05  +49:30:21.6 | NGC  7243   693, 87GB 221133.6+491557
00:00.4  +50:42 | NGC  7801, NGC  7801
02:27:51.794  +45:56:49.58 | NGC   920, NGC   920
02:28:45.847  +45:58:14.20 | IC 1799, IC 1799
02:29:17.463  +45:54:40.99 | NGC   933, NGC   933
02:32:15  +44:33.8 | NGC   956, NGC   956
02:51:43.291  +42:49:41.65 | IC  262, IC  262
02:54:44.692  +41:31:42.82 | NGC  1131, NGC  1131
02:54:27.400  +41:34:46.70 | NGC  1129, NGC  1129
03:01:59.832  +42:35:05.82 | NGC  1164, NGC  1164
03:00:46.523  +43:09:45.10 | NGC  1159, NGC  1159
03:05:30.848  +42:50:07.67 | NGC  1174, NGC  1186, NGC  1186
03:04:37.151  +42:21:46.34 | NGC  1177, IC  281, NGC  1177
03:07:32.909  +42:23:15.13 | IC  288, IC  288
03:06:13.239  +41:50:56.31 | NGC  1198, NGC  1198
02:52:51.057  +42:12:19.44 | NGC  1122, NGC  1123, NGC  1122
03:06:09.899  +42:22:18.93 | IC  284, IC  284
03:04:32.369  +42:20:21.35 | NGC  1175, NGC  1175
02:56:36.432  +43:02:50.66 | NGC  1138, NGC  1138
02:54:24.394  +41:36:20.08 | NGC  1130, NGC  1130
02:54:43.972  +41:39:18.82 | IC  265, IC  265
02:55:04.881  +42:15:43.81 | IC  266, IC  266
03:15:21.101  +41:21:19.52 | NGC  1250, NGC  1250
03:11:13.554  +41:21:49.47 | NGC  1224, NGC  1224
03:10:56.153  +41:08:13.53 | IC 1888, IC  293, IC 1888
03:11:03.112  +40:37:19.52 | IC  294, IC  296, IC  294
03:09:42.726  +40:58:26.96 | IC 1884, IC  290, IC 1884
03:16:46.715  +40:00:13.21 | IC  311, IC  311
03:16:06.294  +40:48:16.19 | IC  309, IC  309
03:10:12.930  +40:45:56.50 | IC 1887, IC  292, IC 1887
03:16:43.025  +41:19:29.16 | IC  310, IC  310
